Date,Change_Price,RSI,50MA,200MA,14-high,14-low,%K,SC,MACD,Log_Returns,Signal_MACD,Target
2009-10-19,0.7171554565429688,67.1404821193666,82.80361526489258,72.07572946548461,110.12999725341797,101.98999786376953,-178.21667107184567,-188.05231479532242,0.39960090926334146,0.008231425291270078,1.0143186323234066,1
2009-10-20,-0.462158203125,63.74645118346261,82.94224304199219,72.14733316421508,110.12999725341797,101.98999786376953,-183.89429070057344,-186.43763055105183,0.39583638429790824,-0.0052968280951395386,1.0598919668416509,0
2009-10-21,-0.7808914184570312,58.376684293559634,83.08523712158203,72.21260511398316,110.30999755859375,101.98999786376953,-189.30151606712033,-183.80415927984646,0.35759374400764443,-0.009014102227910215,1.081617649145028,0
2009-10-22,0.8764877319335938,62.223175499615856,83.22878967285156,72.29322134017944,110.30999755859375,102.5999984741211,-200.8223122708584,-191.33937301285073,0.3542973242408749,0.01011204225942297,1.098775813322647,1
2009-10-23,-0.9960479736328125,55.900997407014394,83.34020904541016,72.36740869522094,110.30999755859375,104.70999908447266,-331.9545015483588,-240.69277662877917,0.3093675398628477,-0.011499368785623965,1.093775990287913,0
2009-10-26,-0.9322509765625,50.707889316888256,83.4453549194336,72.44456903457642,110.30999755859375,105.06999969482422,-379.42188384970086,-304.06623255630603,0.23647662405143421,-0.010883969652915049,1.0577836125413285,0
2009-10-27,-0.39043426513671875,48.66870105712044,83.58202728271485,72.52815523147584,110.30999755859375,105.8499984741211,-472.02098597114855,-394.4657904564028,0.16364231759811787,-0.004593726142911869,0.9956124283535275,0
2009-10-28,-1.6016159057617188,41.32679754653403,83.6742953491211,72.6031068611145,110.30999755859375,104.3499984741211,-354.9287048332734,-402.123858218041,0.048324864741644546,-0.019068101371697566,0.8924699431886292,0
2009-10-29,1.7848663330078125,50.321019489805686,83.7884620666504,72.69770952224731,110.30999755859375,104.3499984741211,-324.98127853822825,-383.97698978088346,0.02596401172705498,0.021226796093682054,0.7954967201957086,1
2009-10-30,-2.4621810913085938,40.986996276769354,83.83704849243163,72.77988409042358,110.30999755859375,103.44000244140625,-304.52810995220244,-328.14603110790136,-0.08032940693713897,-0.02940128561276545,0.6663780085800548,0
2009-11-02,0.6055908203125,43.750633636591914,83.86634201049804,72.86250261306763,110.30999755859375,103.08000183105469,-276.0094971772279,-301.83962855588624,-0.13631298109706336,0.007312012282709723,0.5320227812481967,1
2009-11-03,0.2629547119140625,44.95602881696745,83.90105316162109,72.9640139579773,110.30999755859375,103.08000183105469,-272.3725003957157,-284.30336917504866,-0.16612474633093655,0.0031583899877194455,0.4044112316572569,1
2009-11-04,0.21514129638671875,45.97608796006948,83.93689544677734,73.0529771232605,110.30999755859375,103.08000183105469,-269.39682372183825,-272.59294043159395,-0.1775876961371381,0.0025766965753870608,0.29022681565581676,1
2009-11-05,1.5378799438476562,52.72087660367305,84.00333572387696,73.1547190284729,110.30999755859375,103.08000183105469,-248.12599588455654,-263.29844000070347,-0.12726188791403104,0.018227972445923335,0.21431849332143962,1
2009-11-06,0.22308349609375,53.62534357607082,84.07058975219726,73.25616704940796,110.30999755859375,103.08000183105469,-245.0404685274099,-254.18776271126822,-0.07930951742886805,0.0026167539351371616,0.16945081634653464,1
2009-11-09,1.9442596435546875,60.68457989550907,84.17704666137695,73.36510484695435,110.30999755859375,103.08000183105469,-218.14889463409486,-237.10511968202044,0.02830793211050775,0.022520712190770453,0.17702416668288803,1
2009-11-10,0.01593017578125,60.73731599320245,84.29841415405274,73.47079454421997,109.93000030517578,103.08000183105469,-230.01794300339813,-231.06910205496763,0.10872009886074352,0.00018244319802285247,0.21692021221387053,1
2009-11-11,0.44622802734375,62.264245769309426,84.46455215454101,73.56751878738403,110.81999969482422,103.08000183105469,-197.80364062190426,-215.32349275313243,0.18294159812363375,0.005097028484926547,0.28160898278303753,1
2009-11-12,-0.8924560546875,57.45188639841208,84.61886810302734,73.67089902877808,110.81999969482422,103.08000183105469,-209.334083787335,-212.38522247087914,0.20273857798056838,-0.010220169824014746,0.3435658018919526,0
2009-11-13,0.47015380859375,59.23919629520218,84.76942260742187,73.78336378097534,110.81999969482422,103.08000183105469,-203.25974349850222,-203.4658226359138,0.2308687944204877,0.0053970931214442075,0.4072803813819269,1
2009-11-16,1.2669219970703125,63.66815475722539,84.92295104980468,73.90314184188843,111.69000244140625,103.08000183105469,-168.00669898008914,-193.53350875530876,0.293553801259705,0.01440017210924438,0.48804139363459736,1
2009-11-17,0.10358428955078125,64.01245693091091,85.0645945739746,74.01889657974243,111.69000244140625,103.08000183105469,-166.80362950032344,-179.35669065963828,0.3387912910327202,0.001168247300480374,0.5757934357702322,1
2009-11-18,-0.0557861328125,63.66254932509214,85.19259201049805,74.13597749710082,111.69000244140625,103.08000183105469,-167.45155201899817,-167.42062683313694,0.36441451087850396,-0.0006289991697139286,0.6611248280670927,0
2009-11-19,-1.1553726196289062,56.74436506144846,85.2806689453125,74.2424270439148,111.69000244140625,103.08000183105469,-180.87051296819757,-171.70856482917304,0.335125788136466,-0.013116792294863622,0.720525658782277,0
2009-11-20,-0.31078338623046875,55.01259341466906,85.36284759521484,74.33788763046265,111.69000244140625,103.54000091552734,-200.5365850462023,-182.95288334446604,0.29594293974359687,-0.003557845628226808,0.7539592350158544,0
2009-11-23,1.1075897216796875,59.729533409447384,85.45908905029297,74.43841650009155,111.73999786376953,104.6500015258789,-230.55224362423328,-203.98644721287772,0.3014260891989835,0.012622263891521435,0.7853169174167892,1
